                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0208,                0.54167,                 1.0057,                0.84937,                0.49947,                 0.5574,                0.32712,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                     81,                 1.0167,                0.53766,                0.99916,                0.84489,                0.50031,                0.55773,                0.32357,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     82,                 1.0078,                0.53314,                 0.9965,                0.84743,                0.49559,                0.55547,                0.32244,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                     83,                 1.0019,                0.52527,                0.99943,                0.83934,                0.50085,                0.55777,                0.32605,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     84,                 1.0069,                0.53333,                0.99552,                0.84267,                0.50139,                0.55907,                  0.328,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                     85,                0.98776,                0.51818,                0.99016,                0.84374,                0.50758,                0.56177,                0.32731,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     86,                0.98631,                0.51552,                0.99415,                 0.8456,                0.50655,                0.56059,                0.32941,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     87,                0.98157,                0.51097,                0.98626,                 0.8555,                0.50301,                0.55912,                0.32872,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     88,                0.98435,                0.51505,                 0.9887,                0.87016,                0.49451,                0.55664,                0.32489,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                     89,                0.97062,                0.50315,                0.98563,                0.86799,                 0.4946,                0.55536,                0.32279,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     90,                0.96617,                0.49784,                0.98396,                0.86457,                0.48799,                0.55232,                  0.324,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                     91,                 0.9269,                0.44461,                0.94028,                0.86689,                0.49184,                0.55516,                0.32376,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     92,                 0.9141,                0.43418,                 0.9367,                0.86782,                0.49462,                 0.5551,                0.32291,                    nan,                    nan,                    nan,               0.000991,               0.000991,               0.000991
                     93,                0.90277,                0.42615,                0.93782,                0.86143,                0.49466,                0.55554,                0.32308,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     94,                0.89555,                0.42285,                0.92765,                0.85902,                0.50387,                0.55736,                0.32399,                    nan,                    nan,                    nan,               0.000793,               0.000793,               0.000793
                     95,                0.88978,                0.41592,                0.93016,                0.86595,                0.49477,                0.55408,                0.32264,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     96,                0.87924,                0.41421,                  0.926,                0.83613,                0.50467,                0.55042,                0.32164,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
                     97,                0.87452,                0.41364,                0.92616,                0.86458,                0.49186,                0.55058,                0.32183,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                     98,                0.86472,                0.40889,                0.92029,                 0.8631,                0.49206,                0.54849,                0.32131,                    nan,                    nan,                    nan,               0.000397,               0.000397,               0.000397
                     99,                0.87095,                0.40209,                0.91821,                0.86235,                0.49218,                0.54747,                0.32047,                    nan,                    nan,                    nan,               0.000298,               0.000298,               0.000298
                    100,                0.85809,                0.40211,                0.91542,                0.85779,                 0.4923,                0.54728,                0.31992,                    nan,                    nan,                    nan,               0.000199,               0.000199,               0.000199
